Id,Label,lat,lon
604041,Havptmance,46.000359,14.516712
203111,Kristalna palača,46.066956,14.542056
204112,Slovenijales,46.093533,14.553877
404062,Zadvor,46.040119,14.597842
303021,Zaloška,46.056095,14.539826
404093,Sostro,46.031719,14.604608
744022,Japelj,46.010239,14.412721
815181,Vaše,46.136986,14.402154
103182,Štajerska,46.076302,14.525114
304072,Polje,46.053757,14.583648
102072,Vodovodna,46.07539,14.505082
405122,Baron,46.038063,14.645587
704026,Brdo,46.047497,14.453823
815031,KS. Pirniče,46.137501,14.433369
104022,Kališnikov trg,46.093483,14.511303
501022,Zmajski most,46.052326,14.510248
602042,Tobačna,46.046963,14.493443
504032,Rudnik,46.017525,14.543324
204372,Za travniki,46.073818,14.588104
203022,Rožičeva,46.063412,14.532359
403072,Bilečanska,46.045769,14.544234
203121,BTC-tržnica,46.064262,14.543612
815182,Vaše,46.137306,14.401507
504081,Lavrica pri Malči,46.000313,14.555258
803161,Bratov Babnik,46.074638,14.462795
745043,NOT. GORICE,45.98782,14.401722
405081,Hlebš,46.045227,14.645023
303012,Tržnica Moste,46.055534,14.533978
404091,SOSTRO,46.031807,14.604355
504021,Spodnji Rudnik,46.023838,14.540038
803183,Kamna Gorica,46.078941,14.46657
204312,Hladilniška,46.062271,14.604209
703012,Rožna dolina,46.047905,14.482088
204051,LETALIŠKA P+R,46.063263,14.566776
406062,Volavlje,46.032249,14.716785
104362,GD Gameljne,46.126118,14.499509
614051,Zidarjevec,46.002819,14.482655
602061,Križanke,46.046207,14.501891
303082,Nusdorferjeva,46.049553,14.547837
803212,Kovinarska,46.080875,14.492028
501032,Lutkovno gl.,46.050354,14.510503
804361,STANEŽIČE nas.,46.108692,14.436565
804072,Medno,46.124935,14.436693
804102,Tabor,46.109222,14.461908
204313,ZALOG,46.06287,14.603294
704011,D. MOST P+R,46.036953,14.46368
204211,Agrokombinatska,46.06913,14.605268
603021,Gerbičeva,46.040836,14.489918
804011,Trata,46.087219,14.474073
625051,Iška vas,45.94059,14.511484
202021,Prekmurska,46.06488,14.517277
405051,Besnica ambulanta,46.033279,14.687283
504102,Škofljica Petkovšek,45.989532,14.566341
300012,Kolodvor,46.057571,14.511196
104162,Črnuče,46.103516,14.533932
304102,Vevče,46.049408,14.592624
405092,Vnajnarje,46.04208,14.64573
603041,Koprska,46.035366,14.484431
815202,Goričane kopališče,46.14283,14.391415
403022,Kodeljevo,46.051487,14.539051
404152,Zadvor-2,46.035881,14.596593
804231,Pržanec,46.086147,14.459642
804141,Tacenski most,46.117733,14.461617
301011,Friškovec,46.05743,14.518347
104142,Pot v Hrastovec,46.107491,14.532883
102032,Gasilska brigada,46.06815,14.516546
504091,Lavrica,45.997139,14.557926
203181,Bratislavska,46.066135,14.551472
104061,Elma,46.09882,14.526475
504112,Škofljica žaga,45.985836,14.571655
402011,Hrvatski trg,46.052498,14.516756
504122,Bobrova,46.024364,14.531842
503021,Rakovnik,46.036312,14.522804
804351,Dvor,46.105614,14.44287
104371,Stara Ježica,46.094559,14.515757
204251,Trbeže,46.078091,14.574941
404082,Križišče Sostro,46.037113,14.6078
304162,Kašeljska,46.054207,14.591943
204081,ZADOBROVA,46.071068,14.580005
415032,Veliki Lipoglav,46.005253,14.653082
104062,Elma,46.098354,14.527402
604023,Barje,46.016033,14.511757
406022,Trebeljevo,46.013554,14.738499
103202,Litostroj,46.082207,14.496925
805041,MEDVODE nas.,46.142487,14.406928
204132,Nadgorica,46.096771,14.558626
204191,Zeleni gaj,46.066391,14.612833
101062,Bratov Židan,46.065392,14.503077
405091,Vnajnarje,46.042156,14.645879
204172,BERIČEVO,46.089916,14.613207
105112,OŠ Domžale,46.142467,14.602495
502012,Poljanska,46.050323,14.514113
405102,Tinčk,46.038132,14.648054
614092,Snoj,45.990974,14.456561
504011,Gornji Rudnik,46.028107,14.535834
203192,Yulon,46.061871,14.550273
501031,Lutkovno gl.,46.050484,14.510652
602072,Mirje,46.04586,14.500716
204411,Ihan farma,46.115757,14.618396
104152,OŠ Maksa Pečarja,46.104973,14.534554
406021,Trebeljevo,46.013218,14.7383
815012,Vikrče,46.122292,14.446425
405031,Besnica šola,46.035515,14.65753
604052,Pri Maranzu,46.006786,14.514535
104051,Sava,46.100925,14.521701
804352,Dvor,46.106007,14.442182
105141,Domžale,46.139122,14.594016
304011,Preglov trg,46.05471,14.559114
745052,Podpeč,45.974007,14.42049
406011,Šemnikar,46.019505,14.717798
745022,Erbežnik,46.002083,14.413228
803031,Kompas,46.079945,14.480161
304122,Vevče Papirnica,46.047268,14.5943
704102,Kozarje,46.032074,14.44711
105122,Ljubljanaska,46.143867,14.598888
204011,Leskoškova,46.06208,14.558679
815102,Gostilna Kovač,46.128014,14.445022
703042,Viško polje,46.046375,14.469007
204392,Ihan Termit,46.102146,14.623838
304022,Osenjakova,46.055653,14.562208
703181,Večna pot,46.051319,14.479674
204271,Cesta v Kresnice,46.071465,14.636081
104092,Cesta na Brod,46.096161,14.546776
