Source,Target,Type,Weight,EdgeType,routes,dist_m
202011,301011,Directed,255.22,WALK,,281.6
202011,202012,Directed,210.67,WALK,,31.9
603112,604012,Directed,229.79,BUS,"19B, 19I",0.0
603112,603111,Directed,242.74,WALK,,18.1
603064,603172,Directed,226.57,BUS,9,0.0
603064,603172,Directed,411.89,WALK,,259.4
603064,602092,Directed,433.93,WALK,,290.3
603064,603171,Directed,390.81,WALK,,229.9
603064,603061,Directed,295.36,WALK,,96.3
602051,602021,Directed,58.06,BUS,"1, 1B, 6, 6B, N1",0.0
602051,602052,Directed,91.71,WALK,,45.5
602051,602062,Directed,245.26,WALK,,278.7
602051,602071,Directed,423.62,WALK,,275.9
602051,602061,Directed,226.08,WALK,,251.8
602051,602072,Directed,354.31,WALK,,178.8
202022,202032,Directed,129.6,BUS,"22, 7",0.0
202022,202021,Directed,144.76,WALK,,21.2
202022,101034,Directed,341.03,WALK,,265.5
403051,403043,Directed,113.29,BUS,"5, 9, N5",0.0
403051,403041,Directed,372.41,BUS,13,0.0
403051,403052,Directed,265.33,WALK,,31.5
403051,303081,Directed,319.89,WALK,,289.2
403051,403072,Directed,772.79,WALK,,226.1
403051,403071,Directed,755.58,WALK,,202.0
204252,204081,Directed,611.32,BUS,24,0.0
204252,204251,Directed,743.71,WALK,,185.3
804032,804042,Directed,72.16,BUS,"1, 1B, 25, 8, N1",0.0
804032,804031,Directed,164.68,WALK,,129.5
804032,804041,Directed,240.21,WALK,,235.3
203112,203122,Directed,241.79,BUS,27,0.0
203112,203102,Directed,269.44,WALK,,264.7
203112,203111,Directed,255.65,WALK,,19.4
103161,103041,Directed,255.12,BUS,"20, 20Z",0.0
103161,103081,Directed,419.08,WALK,,229.5
103161,103162,Directed,311.9,WALK,,79.5
404161,404061,Directed,925.71,BUS,26,0.0
404161,404151,Directed,611.32,BUS,24,0.0
404161,404151,Directed,792.41,WALK,,253.5
404161,404162,Directed,833.39,WALK,,17.5
404161,404152,Directed,765.43,WALK,,215.8
403021,303021,Directed,226.57,BUS,9,0.0
403021,303022,Directed,611.32,BUS,24,0.0
403021,303032,Directed,322.76,WALK,,220.4
403021,403022,Directed,148.11,WALK,,73.5
403021,403023,Directed,276.45,WALK,,69.8
604031,603141,Directed,137.29,BUS,"1, 1B, N1",0.0
604031,604032,Directed,206.36,WALK,,87.3
803014,803022,Directed,97.3,BUS,"1, 1B, 25, N1",0.0
803014,803016,Directed,127.49,WALK,,61.3
803014,803012,Directed,152.14,WALK,,89.7
803014,803011,Directed,126.75,WALK,,125.0
803112,803122,Directed,259.2,BUS,7,0.0
803112,803111,Directed,277.31,WALK,,25.4
504033,504021,Directed,213.16,BUS,"3, 3B, N3, N3B",0.0
504033,504031,Directed,448.89,WALK,,75.3
504033,504032,Directed,536.49,WALK,,103.1
